ticket_id,created_at,closed_at,priority,category,assigned_team,status,sla_target_minutes,resolution_minutes,reopened_count,escalated,customer_segment,source_system
SR-000001,2026-03-18T18:24:00Z,2026-03-20T18:11:00Z,P3,application,network_ops,closed,1440,2867,1,false,enterprise,service_portal
SR-000002,2026-01-26T14:16:00Z,2026-01-29T05:02:00Z,P4,hardware,workplace,closed,2880,3766,0,false,enterprise,service_portal
SR-000003,2026-03-04T22:00:00Z,2026-03-05T04:53:00Z,P3,network,workplace,closed,1440,413,0,false,internal,service_portal
SR-000004,2026-03-14T11:25:00Z,2026-03-16T12:58:00Z,P4,network,data_platform,closed,2880,2973,0,true,smb,service_portal
SR-000005,2026-03-31T12:04:00Z,2026-04-04T00:57:00Z,P4,network,workplace,closed,2880,5093,1,false,internal,service_portal
SR-000006,2026-01-05T19:00:00Z,,P1,application,service_desk,open,240,,1,false,internal,service_portal
SR-000007,2026-03-01T04:30:00Z,2026-03-01T05:33:00Z,P3,network,network_ops,closed,1440,63,0,true,smb,service_portal
SR-000008,2026-03-15T00:24:00Z,2026-03-16T12:52:00Z,P3,access,workplace,closed,1440,2188,0,true,internal,service_portal
SR-000009,2026-01-07T14:58:00Z,2026-01-09T03:34:00Z,P3,application,business_apps,closed,1440,2196,0,true,enterprise,service_portal
SR-000010,2026-03-27T02:29:00Z,2026-03-28T16:23:00Z,P3,application,workplace,closed,1440,2274,0,false,smb,service_portal
SR-000011,2026-01-24T21:21:00Z,,P3,reporting,network_ops,open,1440,,0,false,enterprise,service_portal
SR-000012,2026-01-06T18:00:00Z,2026-01-07T12:36:00Z,P3,application,workplace,closed,1440,1116,0,false,internal,service_portal
SR-000013,2026-01-26T16:42:00Z,2026-01-26T21:04:00Z,P1,application,service_desk,closed,240,262,0,false,internal,service_portal
SR-000014,2026-01-30T19:56:00Z,2026-01-31T11:52:00Z,P2,reporting,service_desk,closed,480,956,0,false,smb,service_portal
SR-000015,2026-02-17T08:44:00Z,2026-02-19T05:26:00Z,P4,access,data_platform,closed,2880,2682,0,true,internal,service_portal
SR-000016,2026-03-08T02:37:00Z,2026-03-08T12:15:00Z,P2,access,business_apps,closed,480,578,1,true,smb,service_portal
SR-000017,2026-01-23T10:59:00Z,2026-01-24T05:13:00Z,P3,network,service_desk,closed,1440,1094,0,false,internal,service_portal
